	observed_otus
11166.ELMT14B.14	98
11166.SCC14.2F	958
11166.SCC14.9F	374
11166.SCC14.21	49
11166.SCC14.15F	516
11166.TS.125.pangolin	141
11166.TS.032.cheetah	65
11166.FD.0489.squirrel	355
11166.FD.0308.guenon	444
11166.FD.0437.hyena	148
11166.TS.003.rhinoceros	335
11166.TS.180.waterbuck	629
11166.FD.0280.lion	42
11166.ZU.18210.bear	37
11166.TS.118.pangolin	449
11166.FD.0305.guenon	286
11166.ZU.18237.lemur	179
11166.TS.004.mongoose	193
11166.FD.0007.bharal	815
11166.ZU.18217.lemur	269
11166.FD.0127.tamarin	114
11166.TS.050.springbok	699
11166.TS.113.pangolin	32
11166.TS.082.pangolin	50
11166.FD.0493.wildebeest	755
11166.FD.0066.deer	862
11166.FD.0029.elephant	411
11166.FD.0008.bharal	810
11166.FD.0301.macaque	331
11166.TS.157.gemsbok	820
11166.TS.031.cheetah	60
11166.FD.0478.tamarin	218
11166.FD.0491.koala	136
11166.TS.143.kudu	204
11166.FD.0482.colobus	308
11166.FD.0325.wallaby	289
11166.FD.0105.jaguar	105
11166.ZU.18207.rhinoceros	621
11166.FD.0501.springbok	580
11166.TS.116.pangolin	39
11166.ZU.18259.gecko	244
11166.TS.080.mongoose	152
11166.FD.0040.giraffe	756
11166.FD.0454.mara	493
11166.FD.0183.lemur	246
11166.FD.0453.nilgai	989
11166.ZU.18202.orangutan	276
11166.FD.0108.jaguar	47
11166.ZU.18191.rhinoceros	558
11166.FD.0071.guanaco	975
11166.FD.0268.wilddog	65
11166.FD.0112.jaguar	80
11166.TS.063.kudu	654
11166.ZU.18265.horse	735
11166.FD.0027.elephant	415
11166.FD.0055.tortoise	300
11166.FD.0037.rhinoceros	507
11166.FD.0072.guanaco	938
11166.TS.120.pangolin	745
11166.ZU.18214.lemur	229
11166.TS.137.aardvark	252
11166.FD.0051.watusi	604
11166.FD.0126.hyena	276
11166.FD.0186.marmoset	72
11166.FD.0440.jaguar	59
11166.FD.0463.meerkat	168
11166.FD.0502.gorilla	460
11166.FD.0247.capuchin	41
11166.TS.069.porcupine	351
11166.TS.121.pangolin	485
11166.ZU.18243.elephant	382
11166.FD.0133.tamarin	760
11166.FD.0142.loris	220
11166.FD.0168.cheetah	100
11166.FD.0103.lion	75
11166.FD.0298.bear	62
11166.TS.096.rockrabbit	241
11166.FD.0295.wolf	105
11166.TS.078.mongoose	146
11166.FD.0444.gorilla	287
11166.FD.0143.loris	262
11166.TS.117.pangolin	182
11166.FD.0130.tamarin	136
11166.FD.0192.monkey	32
11166.TS.038.warthog	363
11166.ZU.18262.iguana	249
11166.FD.0083.mousedeer	230
11166.FD.0122.hyena	213
11166.FD.0189.monkey	135
11166.TS.090.nyala	625
11166.TS.112.pangolin	43
11166.TS.083.pangolin	59
11166.FD.0475.tamarin	174
11166.ZU.18203.leopard	96
11166.FD.0115.serval	104
11166.ZU.18249.zebra	591
11166.FD.0481.monkey	265
11166.TS.049.springbok	630
11166.TS.002.rhinoceros	332
11166.TS.133.duiker	441
11166.ZU.18197.tapir	508
11166.TS.099.zebra	799
11166.FD.0078.eland	533
11166.FD.0136.tamarin	127
11166.FD.0469.macaque	306
11166.ZU.18232.lemur	312
11166.TS.177.hyena	171
11166.ZU.18253.lemur	135
11166.FD.0198.meerkat	138
11166.ZU.18257.anteater	160
11166.FD.0093.caracal	85
11166.TS.124.pangolin	102
11166.TS.059.wildebeest	803
11166.FD.0480.saki	334
11166.ZU.18234.redpanda	728
11166.FD.0488.squirrel	314
11166.TS.005.jackal	165
11166.TS.051.springbok	744
11166.FD.0487.panda	25
11166.ZU.18268.orangutan	424
11166.TS.119.pangolin	42
11166.FD.0457.lechwe	742
11166.FD.0229.gibbon	186
11166.FD.0271.lion	52
11166.FD.0090.aardvark	208
11166.ZU.18228.gorilla	570
11166.TS.131.steenbok	476
11166.FD.0034.rhinoceros	489
11166.FD.0486.gorilla	185
11166.ZU.18252.tamandua	160
11166.ZU.18230.mousedeer	210
11166.ZU.18255.elephant	575
11166.TS.200.mongoose	131
11166.ZU.18200.redpanda	1028
11166.ZU.18193.pitviper	84
11166.FD.0299.deer	904
11166.TS.145.kudu	624
11166.FD.0438.lion	74
11166.FD.0496.deer	604
11166.ZU.18254.sloth	291
11166.ZU.18227.monitor	135
11166.FD.0088.aardvark	87
11166.TS.057.warthog	310
11166.FD.0065.deer	879
11166.FD.0048.dromedary	819
11166.TS.126.pangolin	263
11166.ZU.18248.hyrax	322
11166.TS.174.aardvark	217
11166.FD.0460.okapi	535
11166.SFM.18277.manatee	241
11166.FD.0277.monkey	110
11166.TS.151.zebra	552
11166.ZU.18236.gecko	322
11166.FD.0024.elephant	483
11166.TS.056b.chat	851
11166.TS.123.pangolin	88
11166.TS.043.chat	301
11166.FD.0139.loris	218
11166.ZU.18239.elephant	658
11166.TS.056.chat	50
11166.TS.085.porcupine	369
11166.TS.207.wilddog	173
11166.FD.hippo.antelope	694
11166.TS.086.baboon	396
11166.FD.0125.wolf	84
11166.FD.0428.springbok	728
11166.TS.150.zebra	785
11166.FD.0259.monkey	151
11166.ZU.18195.wolf	73
11166.FD.0425.lutung	391
11166.TS.115.pangolin	33
11166.FD.0013.addax	934
11166.FD.0020.antelope	859
11166.ZU.18242.sloth	294
11166.TS.182.giraffe	593
11166.TS.166.giraffe	670
11166.FD.0282.otter	20
11166.FD.0174.antelope	631
11166.TS.129.pangolin	493
11166.TS.161.antelope	640
11166.TS.042.warthog	376
11166.TS.152.eland	760
11166.FD.0458.elephant	609
11166.TS.114.pangolin	18
11166.FD.0031.rhinoceros	463
11166.FD.0087.aardvark	100
11166.FD.0241.wallaby	474
11166.FD.0316.mangabey	444
11166.TS.135.aardvark	232
11166.ZU.18199.gorilla	494
11166.TS.153.eland	753
11166.TS.088.wildebeest	674
11166.TS.015.flycatcher	418
11166.TS.209.wilddog	133
11166.TS.065.baboon	402
11166.TS.155.hartebeest	735
11166.TS.061.gemsbok	824
11166.ZU.18231.monitor	128
11166.FD.0045.ass	733
11166.ZU.18240.elephant	602
11166.ZU.18223.gecko	208
11166.FD.0099.wolf	61
11166.FD.0084.mousedeer	179
11166.TS.006.rhino	458
11166.TS.040.warthog	324
11166.FD.0499.fox	123
11166.TS.067.porcupine	291
11166.TS.208.wilddog	123
11166.FD.0456.mongoose	94
11166.ZU.18269.anteater	164
11166.FD.0500.meerkat	49
11166.FD.0089.aardvark	73
11166.FD.0313.mangabey	366
11166.FD.0077.eland	526
11166.TS.127.pangolin	882
11166.TS.175.aardvark	206
11166.TS.098.rockrabbit	282
11166.TS.176.zebra	809
11166.TS.142.kudu	615
11166.ZU.18245.elephant	588
11166.TS.210.wilddog	161
11166.TS.170.impala	604
11166.TS.159.antelope	644
11166.FD.0019.antelope	823
11166.TS.172.impala	657
11166.FD.0014.addax	905
11166.FD.0244.tortoise	397
11166.FD.0439.cougar	63
11166.TS.146.rhinoceros	541
11166.FD.0171.antelope	650
11166.TS.168.impala	764
11166.FD.0147.capuchin	80
11166.ZU.18208.tapir	277
11166.ZU.18190.lion	83
11166.SFM.18281.manatee	211
11166.TS.100.eland	641
11166.artic.squirrel.673	503
11166.artic.squirrel.9532	424
11166.artic.squirrel.8846	411
11166.artic.squirrel.9674	631
11166.artic.squirrel.659	503
11166.artic.squirrel.665	366
11166.artic.squirrel.9074	639
11166.artic.squirrel.8832	402
11166.artic.squirrel.648	380
11166.artic.squirrel.593	380
11166.artic.squirrel.8850	522
11166.artic.squirrel.8840	425
11166.artic.squirrel.651	355
11166.Ostrich1.ACAD.4	314
11166.artic.squirrel.8851	344
11166.artic.squirrel.9525	400
11166.artic.squirrel.9540	509
11166.artic.squirrel.9592	439
11166.artic.squirrel.8852	501
11166.artic.squirrel.9569	451
11166.emu.ACAD.3	25
11166.cassowary.ACAD.2	76
11166.artic.squirrel.8844	438
11166.artic.squirrel.9555	472
11166.artic.squirrel.655	466
11166.Rhea.ACAD.5	342
11166.artic.squirrel.9561	527
11166.artic.squirrel.645	211
11166.artic.squirrel.9599	508
11166.artic.squirrel.8853	439
11166.Ostrich2.ACAD.6	294
11166.artic.squirrel.636	418
11166.artic.squirrel.8739	541
11166.fmnh.198	28
11166.fmnh.1107	25
11166.fmnh.2570	362
11166.fmnh.1148	141
11166.fmnh.2577	131
11166.fmnh.2553	142
11166.fmnh.1100	23
11166.fmnh.228	35
11166.fmnh.2843	66
11166.fmnh.1062	11
11166.fmnh.2579	6
11166.fmnh.2515	9
11166.fmnh.2860	9
11166.fmnh.2566	34
11166.fmnh.239	28
11166.fmnh.1059	55
11166.fmnh.2814	38
11166.fmnh.2855	39
11166.fmnh.2527	13
11166.fmnh.2839	13
11166.fmnh.1057	69
11166.fmnh.2797	83
11166.fmnh.1108	52
11166.fmnh.1064	26
11166.fmnh.1147	148
11166.fmnh.2578	119
11166.fmnh.1095	52
11166.fmnh.2827	396
11166.fmnh.229	57
11166.fmnh.2539	123
11166.fmnh.2571	38
11166.fmnh.1149	56
11166.fmnh.2555	41
11166.fmnh.199	16
11166.fmnh.1072	224
11166.fmnh.1083	197
11166.fmnh.2505	45
11166.fmnh.2791	58
11166.fmnh.2815	93
11166.fmnh.1133	69
11166.fmnh.1117	93
11166.fmnh.1110	27
11166.fmnh.238	29
11166.fmnh.1071	68
11166.fmnh.1087	95
11166.fmnh.1139	38
11166.fmnh.235	13
11166.fmnh.2857	11
11166.fmnh.2818	65
11166.fmnh.1078	115
11166.fmnh.2816	14
11166.fmnh.2563	14
11166.fmnh.285	161
11166.fmnh.2859	14
11166.fmnh.2540	51
11166.fmnh.1137	78
11166.fmnh.2564	38
11166.fmnh.1089	65
11166.fmnh.1091	104
11166.fmnh.1144	20
11166.fmnh.1143	144
11166.fmnh.1096	101
11166.fmnh.2534	203
11166.fmnh.2824	109
11166.fmnh.1102	106
11166.fmnh.2575	17
11166.fmnh.209	14
11166.fmnh.262	42
11166.fmnh.1105	128
11166.fmnh.2823	13
11166.fmnh.275	73
11166.fmnh.1088	14
11166.fmnh.1136	37
11166.fmnh.1112	26
11166.fmnh.1115	102
11166.fmnh.2858	15
11166.fmnh.1131	60
11166.fmnh.2562	76
11166.fmnh.2817	19
11166.fmnh.219	35
11166.fmnh.2856	16
11166.fmnh.2875	51
11166.fmnh.1070	76
11166.fmnh.247	14
11166.fmnh.263	58
11166.fmnh.2585	365
11166.fmnh.2574	9
11166.fmnh.2550	98
11166.fmnh.2840	119
11166.fmnh.1061	36
11166.fmnh.1129	89
11166.fmnh.1142	168
11166.fmnh.1097	176
11166.fmnh.1090	96
11166.fmnh.2516	90
11166.fmnh.1066	135
11166.fmnh.2808	107
11166.fmnh.222	68
11166.fmnh.1318	83
