	faith_pd
11166.ELMT14B.14	15.149818534180095
11166.SCC14.2F	114.55990999796501
11166.SCC14.9F	42.78548002628998
11166.SCC14.21	13.7728761306501
11166.SCC14.15F	70.86721188462501
11166.TS.125.pangolin	19.498291308100104
11166.TS.032.cheetah	11.452468072120102
11166.FD.0489.squirrel	46.12135789157508
11166.FD.0308.guenon	49.786754855691576
11166.FD.0437.hyena	19.990068657390005
11166.TS.003.rhinoceros	52.6937107587819
11166.TS.180.waterbuck	74.27815018750968
11166.FD.0280.lion	7.640402868840102
11166.ZU.18210.bear	6.312960061420001
11166.TS.118.pangolin	70.95420304981559
11166.FD.0305.guenon	37.2880350884244
11166.ZU.18237.lemur	27.33220431049961
11166.TS.004.mongoose	26.836902353186993
11166.FD.0007.bharal	85.99943680547847
11166.ZU.18217.lemur	39.556328228856906
11166.FD.0127.tamarin	16.358284470549997
11166.TS.050.springbok	75.8542408231461
11166.TS.113.pangolin	7.7334275490501
11166.TS.082.pangolin	9.968236818400001
11166.FD.0493.wildebeest	84.33307401661641
11166.FD.0066.deer	87.3423472269195
11166.FD.0029.elephant	58.605500704197915
11166.FD.0008.bharal	86.17748052751307
11166.FD.0301.macaque	40.08511097173651
11166.TS.157.gemsbok	91.91233640369798
11166.TS.031.cheetah	9.050922859760101
11166.FD.0478.tamarin	30.311017086834998
11166.FD.0491.koala	23.238778063199003
11166.TS.143.kudu	41.38829859721428
11166.FD.0482.colobus	42.25884424161359
11166.FD.0325.wallaby	37.763245140409914
11166.FD.0105.jaguar	18.296349147110202
11166.ZU.18207.rhinoceros	73.18996761669499
11166.FD.0501.springbok	72.90064188645778
11166.TS.116.pangolin	10.092887443409996
11166.ZU.18259.gecko	36.657985669379606
11166.TS.080.mongoose	23.129790944887
11166.FD.0040.giraffe	84.35903930263282
11166.FD.0454.mara	66.68771178989299
11166.FD.0183.lemur	37.3377330991631
11166.FD.0453.nilgai	102.12275776792137
11166.ZU.18202.orangutan	41.373210880666704
11166.FD.0108.jaguar	9.223561603420098
11166.ZU.18191.rhinoceros	71.67615950440717
11166.FD.0071.guanaco	99.2653145973272
11166.FD.0268.wilddog	10.220706237137
11166.FD.0112.jaguar	13.391015541980103
11166.TS.063.kudu	75.27492137855637
11166.ZU.18265.horse	85.64020910772231
11166.FD.0027.elephant	52.346275800210904
11166.FD.0055.tortoise	42.026056838078105
11166.FD.0037.rhinoceros	67.8147574668318
11166.FD.0072.guanaco	99.82369154366356
11166.TS.120.pangolin	93.90029105636067
11166.ZU.18214.lemur	40.920769181208605
11166.TS.137.aardvark	37.780618271812
11166.FD.0051.watusi	69.39756369771669
11166.FD.0126.hyena	38.82354178403
11166.FD.0186.marmoset	14.910129501700002
11166.FD.0440.jaguar	9.435940657860101
11166.FD.0463.meerkat	22.278244269290095
11166.FD.0502.gorilla	62.9846520091377
11166.FD.0247.capuchin	9.698091634500003
11166.TS.069.porcupine	43.240922893707605
11166.TS.121.pangolin	54.05880375669058
11166.ZU.18243.elephant	52.84541513932209
11166.FD.0133.tamarin	98.15558850108138
11166.FD.0142.loris	37.8530418634671
11166.FD.0168.cheetah	15.306568066330104
11166.FD.0103.lion	12.181048540060102
11166.FD.0298.bear	11.067303378309996
11166.TS.096.rockrabbit	45.58424804205613
11166.FD.0295.wolf	16.260135538626997
11166.TS.078.mongoose	22.048695054387
11166.FD.0444.gorilla	38.59480823476011
11166.FD.0143.loris	38.551532759447994
11166.TS.117.pangolin	38.0883269467935
11166.FD.0130.tamarin	22.33701522814
11166.FD.0192.monkey	8.577500187739998
11166.TS.038.warthog	49.258344317976096
11166.ZU.18262.iguana	40.69881517285809
11166.FD.0083.mousedeer	40.711224855672
11166.FD.0122.hyena	30.995668138566998
11166.FD.0189.monkey	23.87802248476699
11166.TS.090.nyala	64.9832398741875
11166.TS.112.pangolin	8.441465480340002
11166.TS.083.pangolin	12.904974343560003
11166.FD.0475.tamarin	24.488414135447
11166.ZU.18203.leopard	15.822312366248111
11166.FD.0115.serval	18.340560507845098
11166.ZU.18249.zebra	72.32418788830398
11166.FD.0481.monkey	36.772372859682015
11166.TS.049.springbok	72.18341312397709
11166.TS.002.rhinoceros	55.163490202051996
11166.TS.133.duiker	51.339408745000114
11166.ZU.18197.tapir	65.81423102873897
11166.TS.099.zebra	95.0138923904974
11166.FD.0078.eland	67.02446447525722
11166.FD.0136.tamarin	19.644818757400003
11166.FD.0469.macaque	36.25304670076021
11166.ZU.18232.lemur	35.27149002047889
11166.TS.177.hyena	24.342931495347003
11166.ZU.18253.lemur	20.802989437030007
11166.FD.0198.meerkat	20.095392762900104
11166.ZU.18257.anteater	21.66729100170599
11166.FD.0093.caracal	14.754792341289999
11166.TS.124.pangolin	18.326938028658102
11166.TS.059.wildebeest	86.50780586524444
11166.FD.0480.saki	41.402413733058
11166.ZU.18234.redpanda	88.15270278484203
11166.FD.0488.squirrel	38.557304627454506
11166.TS.005.jackal	25.928438474682988
11166.TS.051.springbok	79.1865570649169
11166.FD.0487.panda	6.914777492095001
11166.ZU.18268.orangutan	54.7730181960147
11166.TS.119.pangolin	16.424235259180094
11166.FD.0457.lechwe	84.21118322551347
11166.FD.0229.gibbon	31.47452059182591
11166.FD.0271.lion	7.748946727180101
11166.FD.0090.aardvark	36.324345341610005
11166.ZU.18228.gorilla	67.35496815426215
11166.TS.131.steenbok	58.05891724693522
11166.FD.0034.rhinoceros	64.74675500328867
11166.FD.0486.gorilla	29.471724916047304
11166.ZU.18252.tamandua	22.58602794811
11166.ZU.18230.mousedeer	37.81276509418201
11166.ZU.18255.elephant	72.50867301487497
11166.TS.200.mongoose	21.315844212679984
11166.ZU.18200.redpanda	110.15231935544736
11166.ZU.18193.pitviper	13.953114078597999
11166.FD.0299.deer	100.92963264058844
11166.TS.145.kudu	72.29194727434941
11166.FD.0438.lion	12.268134243890096
11166.FD.0496.deer	73.63184046354239
11166.ZU.18254.sloth	41.0580054972936
11166.ZU.18227.monitor	18.418379532268503
11166.FD.0088.aardvark	18.49797908468
11166.TS.057.warthog	44.57295028892292
11166.FD.0065.deer	88.3149460526659
11166.FD.0048.dromedary	92.85286675005094
11166.TS.126.pangolin	35.5444361223802
11166.ZU.18248.hyrax	50.64959607598901
11166.TS.174.aardvark	34.907053462200004
11166.FD.0460.okapi	60.29059406166807
11166.SFM.18277.manatee	35.8185273341845
11166.FD.0277.monkey	21.3248992025101
11166.TS.151.zebra	76.603299520571
11166.ZU.18236.gecko	45.36942805301246
11166.FD.0024.elephant	63.24798693772091
11166.TS.056b.chat	93.63192941380095
11166.TS.123.pangolin	14.7941634443301
11166.TS.043.chat	45.43948998177962
11166.FD.0139.loris	37.31227383711001
11166.ZU.18239.elephant	83.65108700756203
11166.TS.056.chat	19.409663418229993
11166.TS.085.porcupine	50.10756931991961
11166.TS.207.wilddog	24.0693364286047
11166.FD.hippo.antelope	74.38468967951484
11166.TS.086.baboon	48.21446191264207
11166.FD.0125.wolf	16.445152242789995
11166.FD.0428.springbok	81.74220304085182
11166.TS.150.zebra	98.87711249118037
11166.FD.0259.monkey	22.265779096517093
11166.ZU.18195.wolf	11.633170788506996
11166.FD.0425.lutung	49.908491233059024
11166.TS.115.pangolin	10.368286559702
11166.FD.0013.addax	101.98468401544488
11166.FD.0020.antelope	88.4342949610736
11166.ZU.18242.sloth	45.977569632261904
11166.TS.182.giraffe	69.67336812479199
11166.TS.166.giraffe	77.9245192168071
11166.FD.0282.otter	4.835311720350102
11166.FD.0174.antelope	72.33032279418981
11166.TS.129.pangolin	57.27237983562617
11166.TS.161.antelope	70.85640137945151
11166.TS.042.warthog	51.95523259550591
11166.TS.152.eland	84.67541924307774
11166.FD.0458.elephant	78.42234469569105
11166.TS.114.pangolin	5.72393521085
11166.FD.0031.rhinoceros	60.17679939808171
11166.FD.0087.aardvark	19.496551717730007
11166.FD.0241.wallaby	58.82891779667782
11166.FD.0316.mangabey	50.87773666668312
11166.TS.135.aardvark	34.01566130085
11166.ZU.18199.gorilla	61.20168616861271
11166.TS.153.eland	87.57541568147043
11166.TS.088.wildebeest	74.71679452835211
11166.TS.015.flycatcher	45.80187371339409
11166.TS.209.wilddog	20.405571175228
11166.TS.065.baboon	48.9980785730621
11166.TS.155.hartebeest	86.00670089912168
11166.TS.061.gemsbok	90.63351418386739
11166.ZU.18231.monitor	18.724813546708493
11166.FD.0045.ass	93.19434007503763
11166.ZU.18240.elephant	71.69797593260587
11166.ZU.18223.gecko	27.791570058751006
11166.FD.0099.wolf	11.681977838750006
11166.FD.0084.mousedeer	27.987572669923896
11166.TS.006.rhino	70.83594238248574
11166.TS.040.warthog	44.27815368905799
11166.FD.0499.fox	20.224097221537093
11166.TS.067.porcupine	38.892126197132896
11166.TS.208.wilddog	17.431520001917
11166.FD.0456.mongoose	16.1024669504501
11166.ZU.18269.anteater	20.312018262369996
11166.FD.0500.meerkat	12.514672619890002
11166.FD.0089.aardvark	12.9491631867
11166.FD.0313.mangabey	41.87379401479919
11166.FD.0077.eland	69.58506239309528
11166.TS.127.pangolin	101.1216838009394
11166.TS.175.aardvark	32.74527344111801
11166.TS.098.rockrabbit	50.775769120735006
11166.TS.176.zebra	89.64648309110052
11166.TS.142.kudu	71.73427782583175
11166.ZU.18245.elephant	75.0556123883309
11166.TS.210.wilddog	26.300496758137008
11166.TS.170.impala	67.2164558666231
