	shannon
11166.ELMT14B.14	2.171289496015083
11166.SCC14.2F	8.011182712076277
11166.SCC14.9F	4.463223722036314
11166.SCC14.21	3.4322326704865924
11166.SCC14.15F	4.408367411808428
11166.TS.125.pangolin	4.217905446938244
11166.TS.032.cheetah	4.158053466864666
11166.FD.0489.squirrel	6.285013063214117
11166.FD.0308.guenon	7.181368813011714
11166.FD.0437.hyena	5.347246656807381
11166.TS.003.rhinoceros	5.235477500054082
11166.TS.180.waterbuck	6.763930440779217
11166.FD.0280.lion	3.3553340276911703
11166.ZU.18210.bear	3.137419483833782
11166.TS.118.pangolin	5.611946898659369
11166.FD.0305.guenon	5.501508751853047
11166.ZU.18237.lemur	4.233086808514264
11166.TS.004.mongoose	6.012350931508538
11166.FD.0007.bharal	7.784121424401726
11166.ZU.18217.lemur	5.811002872856626
11166.FD.0127.tamarin	4.449766781054537
11166.TS.050.springbok	7.293746211041736
11166.TS.113.pangolin	1.8566947796090891
11166.TS.082.pangolin	3.0512266743975642
11166.FD.0493.wildebeest	7.583197361257483
11166.FD.0066.deer	8.301674410309186
11166.FD.0029.elephant	6.195545953109406
11166.FD.0008.bharal	7.5996415723962025
11166.FD.0301.macaque	6.221720612006829
11166.TS.157.gemsbok	8.049271553485577
11166.TS.031.cheetah	2.959762135743485
11166.FD.0478.tamarin	5.209404411436844
11166.FD.0491.koala	5.017831982011876
11166.TS.143.kudu	2.9109885502718247
11166.FD.0482.colobus	6.397404924868719
11166.FD.0325.wallaby	5.886063409083465
11166.FD.0105.jaguar	4.639533865619348
11166.ZU.18207.rhinoceros	7.591677346751985
11166.FD.0501.springbok	6.553865709451241
11166.TS.116.pangolin	0.8668859816640175
11166.ZU.18259.gecko	5.332246721890237
11166.TS.080.mongoose	4.814319679190625
11166.FD.0040.giraffe	7.631389046215799
11166.FD.0454.mara	7.019955110146141
11166.FD.0183.lemur	5.973152701639359
11166.FD.0453.nilgai	8.16324976808753
11166.ZU.18202.orangutan	4.848880522041004
11166.FD.0108.jaguar	3.9019995073537266
11166.ZU.18191.rhinoceros	6.930638425937758
11166.FD.0071.guanaco	8.364303570583852
11166.FD.0268.wilddog	3.700654681801836
11166.FD.0112.jaguar	3.9063256453644213
11166.TS.063.kudu	7.174806861300081
11166.ZU.18265.horse	7.618182707947696
11166.FD.0027.elephant	6.184633958728737
11166.FD.0055.tortoise	5.827992551247423
11166.FD.0037.rhinoceros	6.999267975157089
11166.FD.0072.guanaco	8.270851420494639
11166.TS.120.pangolin	7.138234555094794
11166.ZU.18214.lemur	3.90118993999545
11166.TS.137.aardvark	5.106274073297103
11166.FD.0051.watusi	7.023651901290846
11166.FD.0126.hyena	6.08036183601735
11166.FD.0186.marmoset	4.523250082976356
11166.FD.0440.jaguar	3.7962968006377853
11166.FD.0463.meerkat	4.633663708854488
11166.FD.0502.gorilla	6.6239333201860155
11166.FD.0247.capuchin	3.1117794636988765
11166.TS.069.porcupine	5.991261346778212
11166.TS.121.pangolin	6.345338253449516
11166.ZU.18243.elephant	6.412387951996176
11166.FD.0133.tamarin	7.288976204162677
11166.FD.0142.loris	5.434209255744035
11166.FD.0168.cheetah	4.846406735695801
11166.FD.0103.lion	4.540743220130266
11166.FD.0298.bear	3.188338653966307
11166.TS.096.rockrabbit	5.535508187386504
11166.FD.0295.wolf	4.449775871816598
11166.TS.078.mongoose	5.0567896042385705
11166.FD.0444.gorilla	5.674869231689731
11166.FD.0143.loris	5.506791014391372
11166.TS.117.pangolin	3.140662506641059
11166.FD.0130.tamarin	5.008765220916301
11166.FD.0192.monkey	2.297809165020281
11166.TS.038.warthog	7.057293642977007
11166.ZU.18262.iguana	3.954067235620664
11166.FD.0083.mousedeer	3.255714812595549
11166.FD.0122.hyena	5.331470796265005
11166.FD.0189.monkey	3.9002940117955327
11166.TS.090.nyala	7.575060076175887
11166.TS.112.pangolin	1.8537495907450867
11166.TS.083.pangolin	3.0534100927405983
11166.FD.0475.tamarin	4.665043352432672
11166.ZU.18203.leopard	3.4011419352492562
11166.FD.0115.serval	4.511326810539702
11166.ZU.18249.zebra	7.220681566815802
11166.FD.0481.monkey	5.509725157029175
11166.TS.049.springbok	6.960170249984146
11166.TS.002.rhinoceros	5.277212276081396
11166.TS.133.duiker	6.9415163302458955
11166.ZU.18197.tapir	6.51007249929096
11166.TS.099.zebra	8.099766497407323
11166.FD.0078.eland	6.928854653648964
11166.FD.0136.tamarin	4.610673867703363
11166.FD.0469.macaque	5.279554201838496
11166.ZU.18232.lemur	6.153170405649867
11166.TS.177.hyena	5.683099651530979
11166.ZU.18253.lemur	3.160539583502495
