SampleID,TimeTree_returned
10684.weampp14D11,Actitis_hypoleucos
10684.weampp11B10,Actitis_hypoleucos
10684.weampp09H11,Actitis_hypoleucos
10684.weampp10A08,Actitis_hypoleucos
10684.weampp06A02,Actitis_hypoleucos
10684.weampp05C04,Actitis_macularia
10684.weampp15E07,Actitis_macularia
10684.weampp13D08,Actitis_macularia
10684.weampp15B08,Actitis_macularia
10684.weampp05D12,Actitis_macularia
10925.IMP0825,Aepyceros_melampus
10925.IMP0811,Aepyceros_melampus
11166.FD.0238.impala,Aepyceros_melampus
11166.TS.170.impala,Aepyceros_melampus
11166.TS.172.impala,Aepyceros_melampus
11166.AS.072.blackbird,Agelaius_phoeniceus
11166.AS.182.blackbird,Agelaius_phoeniceus
11166.AS.070.blackbird,Agelaius_phoeniceus
11166.AS.076.blackbird,Agelaius_phoeniceus
11166.AS.181.blackbird,Agelaius_phoeniceus
11166.FD.0357.howler,Alouatta_caraya
11212.AC680,Alouatta_caraya
11212.AC685,Alouatta_caraya
11212.AC693,Alouatta_caraya
11212.AC673,Alouatta_caraya
11212.Apalw23,Alouatta_palliata
11212.Apalw10,Alouatta_palliata
11212.Apalw13,Alouatta_palliata
11212.Apalw19,Alouatta_palliata
11212.Apalw9,Alouatta_palliata
11212.APF116,Alouatta_pigra
11212.APF110,Alouatta_pigra
11166.NATL.24659.howler,Alouatta_pigra
11212.APF109,Alouatta_pigra
11212.APF103,Alouatta_pigra
11212.Asen1111,Alouatta_seniculus
11212.AsenLink2,Alouatta_seniculus
11212.Asen1013,Alouatta_seniculus
11212.Asen1019,Alouatta_seniculus
11212.Asen1118,Alouatta_seniculus
10684.weampp08H08,Amazonetta_brasiliensis
10684.weampp08F06,Amazonetta_brasiliensis
10684.weampp08E08,Amazonetta_brasiliensis
10684.weampp03B11,Amazonetta_brasiliensis
10684.weampp03B10,Amazonetta_brasiliensis
11166.NZ.16863.A.NewZealandbrownteal,Anas_aucklandica
11166.NZ.16875.A.CampbellIslandflightlessteal,Anas_aucklandica
11166.NZ.16949.A1.NewZealandbrownteal,Anas_aucklandica
11166.NZ.16963.A1.CampbellIslandflightlessteal,Anas_aucklandica
11166.NZ.16848.A1.CampbellIslandflightlessteal,Anas_aucklandica
10684.weampp05C12,Anas_crecca
10684.weampp05G12,Anas_crecca
10684.weampp14C02,Anas_crecca
10684.weampp06D05,Anas_crecca
10684.weampp12F03,Anas_crecca
11166.fmnh.1096,Anthreptes_collaris
11166.fmnh.1108,Anthreptes_collaris
11166.fmnh.1215,Anthreptes_collaris
11166.fmnh.1212,Anthreptes_collaris
11166.fmnh.1059,Anthreptes_collaris
11166.FD.01980.springbok,Antidorcas_marsupialis
11166.FD.0492.springbok,Antidorcas_marsupialis
11166.TS.051.springbok,Antidorcas_marsupialis
11166.TS.049.springbok,Antidorcas_marsupialis
11166.FD.0501.springbok,Antidorcas_marsupialis
10684.weampp01A05,Aplonis_panayensis
10684.weampp03B12,Aplonis_panayensis
10684.weampp01F12,Aplonis_panayensis
10684.weampp03C09,Aplonis_panayensis
10684.weampp03G05,Aplonis_panayensis
11212.AtbelzLink4,Ateles_belzebuth
11212.AtbelzLink5,Ateles_belzebuth
11212.AtbelzLink3,Ateles_belzebuth
11212.AtbelzLink1,Ateles_belzebuth
11212.AtbelzLink2,Ateles_belzebuth
2182.ZX12D,Ateles_geoffroyi
2182.ZF24DN,Ateles_geoffroyi
2182.Z1RB,Ateles_geoffroyi
2182.CPZXOC,Ateles_geoffroyi
2182.CPZX12B,Ateles_geoffroyi
10684.weampp04G04,Aythya_fuligula
10684.weampp08B03,Aythya_fuligula
10684.weampp08H03,Aythya_fuligula
10684.weampp04D10,Aythya_fuligula
10684.weampp11H07,Aythya_fuligula
11166.fmnh.198,Batis_capensis
11166.fmnh.239,Batis_capensis
11166.fmnh.329,Batis_capensis
11166.fmnh.209,Batis_capensis
11166.fmnh.188,Batis_capensis
11166.fmnh.1133,Bubulcus_ibis
11166.fmnh.1137,Bubulcus_ibis
11166.fmnh.1136,Bubulcus_ibis
10684.weampp08C07,Bubulcus_ibis
11166.NATL.24346.egret,Bubulcus_ibis
10684.weampp09A11,Calcarius_lapponicus
10684.weampp06H03,Calcarius_lapponicus
10684.weampp08A02,Calcarius_lapponicus
10684.weampp07B03,Calcarius_lapponicus
10684.weampp06C08,Calcarius_lapponicus
10684.weampp07F01,Calidris_mauri
10684.weampp06A04,Calidris_mauri
10684.weampp04A07,Calidris_mauri
10684.weampp05C05,Calidris_mauri
10684.weampp06E06,Calidris_mauri
10684.weampp11C11,Calidris_ptilocnemis
10684.weampp13E01,Calidris_ptilocnemis
10684.weampp13E08,Calidris_ptilocnemis
10684.weampp12H03,Calidris_ptilocnemis
10684.weampp12H09,Calidris_ptilocnemis
10684.weampp06G07,Calidris_pusilla
10684.weampp07D06,Calidris_pusilla
10684.weampp07C03,Calidris_pusilla
10684.weampp01D08,Calidris_pusilla
10684.weampp06C05,Calidris_pusilla
10684.weampp10C08,Calidris_ruficollis
10684.weampp13A11,Calidris_ruficollis
10684.weampp07F05,Calidris_ruficollis
10684.weampp07C05,Calidris_ruficollis
10684.weampp11E06,Calidris_ruficollis
11166.Kurle.51279,Callorhinus_ursinus
11166.Kurle.51303,Callorhinus_ursinus
11166.Kurle.51318,Callorhinus_ursinus
11166.Kurle.51281,Callorhinus_ursinus
11166.Kurle.51314,Callorhinus_ursinus
