SampleID	deblurred_seqs	pd_5k	shannon_5k	sample_type	preservative	sex	healthy	captive_wild	LIFE_STAGE	dataset	collector	country	Common_name	Species_name	date_collected	individual_ID	animal_ID	group_individual_ID	group_ID	Corrected_Species_name	flight_status	flight_type	query_name	ET.BodyMass.Value	ET.Diet.5Cat	ET.Diet.Fruit	ET.Diet.Inv	ET.Diet.Nect	ET.Diet.PlantO	ET.Diet.Scav	ET.Diet.Seed	ET.Diet.Vect	ET.Diet.Vend	ET.Diet.Vfish	ET.Diet.Vunk	Taxonomy_Class	Taxonomy_Family	Taxonomy_Genus	Taxonomy_Kingdom	Taxonomy_Order	Taxonomy_Phylum	Taxonomy_Species	Taxonomy_Subspecies	TimeTree_name	eltontraits_name	TimeTree_returned	LAV.ln_mass.estimate	LAV.ln_silen.estimate	LAV.ln_lilen.estimate	LAV.ln_stomas.estimate	LAV.ln_caelen.estimate	LAV.ln_sivol.estimate	LAV.ln_nsa.estimate	LAV.ln_mass.imputed	LAV.ln_silen.imputed	LAV.ln_lilen.imputed	LAV.ln_stomas.imputed	LAV.ln_caelen.imputed	LAV.ln_sivol.imputed	LAV.ln_nsa.imputed	pd_10k	shannon_10k
10684.weampp14D11	18340	7.027499873	3.396161456	intestinal fecal	liquid nitrogen	M	unknown	wild	after hatch year	Winker birds	Kevin Winker	Philippines	Common Sandpiper	Actitis hypoleucos	10/29/01	UAM14400	UAM14400			Actitis hypoleucos	flighted	strong	Actitis hypoleucos	48	Omnivore	0	50	0	10	0	0	20	0	20	0	Aves	Scolopacidae	Actitis	Metazoa	Charadriiformes	Chordata	Actitis hypoleucos		Actitis hypoleucos		Actitis_hypoleucos	3.65204786733123	3.04628575888208	0.904184482366713	0.701588991237553	1.43303392011719	0.30570688601754	2.47334540612343	True	True	True	True	True	True	True	8.232832907	3.422005054
10684.weampp14E04	6394	14.68302203	3.098615192	intestinal	liquid nitrogen	F	unknown	wild	after hatch year	Winker birds	Kevin Winker	Philippines	Common Sandpiper	Actitis hypoleucos	4/17/08	UAM25313	UAM25313			Actitis hypoleucos	flighted	strong	Actitis hypoleucos	48	Omnivore	0	50	0	10	0	0	20	0	20	0	Aves	Scolopacidae	Actitis	Metazoa	Charadriiformes	Chordata	Actitis hypoleucos		Actitis hypoleucos		Actitis_hypoleucos	3.65204786733123	3.04628575888208	0.904184482366713	0.701588991237553	1.43303392011719	0.30570688601754	2.47334540612343	True	True	True	True	True	True	True	NA	NA
10684.weampp06A02	80942	20.76448837	3.014643358	fecal	liquid nitrogen	F	unknown	wild	hatch year	Winker birds	Kevin Winker	USA	Common Sandpiper	Actitis hypoleucos	9/17/07	UAM26303	UAM26303			Actitis hypoleucos	flighted	strong	Actitis hypoleucos	48	Omnivore	0	50	0	10	0	0	20	0	20	0	Aves	Scolopacidae	Actitis	Metazoa	Charadriiformes	Chordata	Actitis hypoleucos		Actitis hypoleucos		Actitis_hypoleucos	3.65204786733123	3.04628575888208	0.904184482366713	0.701588991237553	1.43303392011719	0.30570688601754	2.47334540612343	True	True	True	True	True	True	True	24.21659451	3.005326926
10684.weampp11B10	24169	8.470959051	3.933631896	intestinal	liquid nitrogen	M	unknown	wild	after hatch year	Winker birds	Kevin Winker	Philippines	Common Sandpiper	Actitis hypoleucos	10/26/01	UAM14399	UAM14399			Actitis hypoleucos	flighted	strong	Actitis hypoleucos	48	Omnivore	0	50	0	10	0	0	20	0	20	0	Aves	Scolopacidae	Actitis	Metazoa	Charadriiformes	Chordata	Actitis hypoleucos		Actitis hypoleucos		Actitis_hypoleucos	3.65204786733123	3.04628575888208	0.904184482366713	0.701588991237553	1.43303392011719	0.30570688601754	2.47334540612343	True	True	True	True	True	True	True	8.895250229	3.941852003
10684.weampp09H11	15196	26.58323282	4.936128603	intestinal	liquid nitrogen	M	unknown	wild	after hatch year	Winker birds	Kevin Winker	USA	Common Sandpiper	Actitis hypoleucos	6/1/00	UAM11776	UAM11776			Actitis hypoleucos	flighted	strong	Actitis hypoleucos	48	Omnivore	0	50	0	10	0	0	20	0	20	0	Aves	Scolopacidae	Actitis	Metazoa	Charadriiformes	Chordata	Actitis hypoleucos		Actitis hypoleucos		Actitis_hypoleucos	3.65204786733123	3.04628575888208	0.904184482366713	0.701588991237553	1.43303392011719	0.30570688601754	2.47334540612343	True	True	True	True	True	True	True	29.34883343	4.949467391
10684.weampp15E07	10693	8.065773343	1.853581659	intestinal	liquid nitrogen	M	unknown	wild	hatch year	Winker birds	Kevin Winker	USA	Spotted Sandpiper	Actitis macularia	8/24/10	UAM27425	UAM27425			Actitis macularia	flighted	strong	Actitis macularia	40.4	Invertebrate	0	80	0	0	0	0	0	0	20	0	Aves	Scolopacidae	Actitis	Metazoa	Charadriiformes	Chordata	Actitis macularia		Actitis macularia	Actitis macularius	Actitis_macularia	3.50511458282627	3.03893588549497	0.915898090041992	0.245376114799926	1.36825683962962	0.12689055096995	2.33212150127502	True	True	True	True	True	True	True	8.21407825	1.857562296
10684.weampp05D12	151657	29.83269654	1.75557402	fecal	liquid nitrogen	unknown	unknown	wild	unknown	Winker birds	Kevin Winker	Panama	Spotted Sandpiper	Actitis macularia	12/5/05	UAM24633	UAM24633			Actitis macularia	flighted	strong	Actitis macularia	40.4	Invertebrate	0	80	0	0	0	0	0	0	20	0	Aves	Scolopacidae	Actitis	Metazoa	Charadriiformes	Chordata	Actitis macularia		Actitis macularia	Actitis macularius	Actitis_macularia	3.50511458282627	3.03893588549497	0.915898090041992	0.245376114799926	1.36825683962962	0.12689055096995	2.33212150127502	True	True	True	True	True	True	True	36.82701659	1.77550598
10684.weampp13D08	37626	18.01350622	4.511312338	intestinal	liquid nitrogen	M	unknown	wild	adult	Winker birds	Kevin Winker	USA	Spotted Sandpiper	Actitis macularia	7/24/00	UAM11372	UAM11372			Actitis macularia	flighted	strong	Actitis macularia	40.4	Invertebrate	0	80	0	0	0	0	0	0	20	0	Aves	Scolopacidae	Actitis	Metazoa	Charadriiformes	Chordata	Actitis macularia		Actitis macularia	Actitis macularius	Actitis_macularia	3.50511458282627	3.03893588549497	0.915898090041992	0.245376114799926	1.36825683962962	0.12689055096995	2.33212150127502	True	True	True	True	True	True	True	20.84177914	4.58514181
10684.weampp15B08	23205	16.23031569	3.296556931	intestinal fecal	liquid nitrogen	F?	unknown	wild	hatch year	Winker birds	Kevin Winker	USA	Spotted Sandpiper	Actitis macularia	8/28/08	UAM27424	UAM27424			Actitis macularia	flighted	strong	Actitis macularia	40.4	Invertebrate	0	80	0	0	0	0	0	0	20	0	Aves	Scolopacidae	Actitis	Metazoa	Charadriiformes	Chordata	Actitis macularia		Actitis macularia	Actitis macularius	Actitis_macularia	3.50511458282627	3.03893588549497	0.915898090041992	0.245376114799926	1.36825683962962	0.12689055096995	2.33212150127502	True	True	True	True	True	True	True	21.35735671	3.261308477
10684.weampp05C04	19430	7.347537324	1.368445678	intestinal	liquid nitrogen	M	unknown	wild	unknown	Winker birds	Kevin Winker	Panama	Spotted Sandpiper	Actitis macularia	12/5/05	UAM24632	UAM24632			Actitis macularia	flighted	strong	Actitis macularia	40.4	Invertebrate	0	80	0	0	0	0	0	0	20	0	Aves	Scolopacidae	Actitis	Metazoa	Charadriiformes	Chordata	Actitis macularia		Actitis macularia	Actitis macularius	Actitis_macularia	3.50511458282627	3.03893588549497	0.915898090041992	0.245376114799926	1.36825683962962	0.12689055096995	2.33212150127502	True	True	True	True	True	True	True	9.065905483	1.395016253
10925.IMP0825	15690	45.79872445	6.705050294	fecal	frozen	unknown		wild		UGA_gazelles	Ezenwa_Williams	Kenya	impala	Aepyceros melampus	8/25/15	aw.IMP0825	IMP0825			Aepyceros melampus	flightless	flightless	Aepyceros melampus	52500.08		0	0	0	100	0	0	0	0	0	0	Mammalia	Bovidae	Aepyceros	Metazoa	Cetartiodactyla	Chordata	Aepyceros melampus		Aepyceros melampus		Aepyceros_melampus	10.501617106543	6.75919618767876	3.41818307526191	6.68365543355891	3.48977929504943	7.39212901316158	8.4595187790558	True	True	True	True	True	True	True	53.08402139	6.748763363
10925.IMP0822	28738	56.3117794	7.524525688	fecal	frozen	unknown		wild		UGA_gazelles	Ezenwa_Williams	Kenya	impala	Aepyceros melampus	8/22/15	aw.IMP0822	IMP0822			Aepyceros melampus	flightless	flightless	Aepyceros melampus	52500.08		0	0	0	100	0	0	0	0	0	0	Mammalia	Bovidae	Aepyceros	Metazoa	Cetartiodactyla	Chordata	Aepyceros melampus		Aepyceros melampus		Aepyceros_melampus	10.501617106543	6.75919618767876	3.41818307526191	6.68365543355891	3.48977929504943	7.39212901316158	8.4595187790558	True	True	True	True	True	True	True	64.17186186	7.52783311
11166.FD.0238.impala	100399	66.70733245	7.545012679	fecal	none	F	unknown	captive	unknown	Delsuc	Sigean African Reserve	France	Impala	Aepyceros melampus	6/6/13	sig.impala.3				Aepyceros melampus	flightless	flightless	Aepyceros melampus	52500.08		0	0	0	100	0	0	0	0	0	0	Mammalia	Bovidae	Aepyceros	Metazoa	Cetartiodactyla	Chordata	Aepyceros melampus		Aepyceros melampus		Aepyceros_melampus	10.501617106543	6.75919618767876	3.41818307526191	6.68365543355891	3.48977929504943	7.39212901316158	8.4595187790558	True	True	True	True	True	True	True	79.8968946	7.604521081
11166.FD.01830.impala	145728	62.37177411	7.646097209	fecal	none	M	unknown	captive	unknown	Delsuc	Sigean African Reserve	France	Impala	Aepyceros melampus	5/8/13	sig.impala.2				Aepyceros melampus	flightless	flightless	Aepyceros melampus	52500.08		0	0	0	100	0	0	0	0	0	0	Mammalia	Bovidae	Aepyceros	Metazoa	Cetartiodactyla	Chordata	Aepyceros melampus		Aepyceros melampus		Aepyceros_melampus	10.501617106543	6.75919618767876	3.41818307526191	6.68365543355891	3.48977929504943	7.39212901316158	8.4595187790558	True	True	True	True	True	True	True	77.2316086	7.679723849
10925.IMP0806	17028	57.64005197	7.584883491	fecal	frozen	unknown		wild		UGA_gazelles	Ezenwa_Williams	Kenya	impala	Aepyceros melampus	8/6/15	aw.IMP0806	IMP0806			Aepyceros melampus	flightless	flightless	Aepyceros melampus	52500.08		0	0	0	100	0	0	0	0	0	0	Mammalia	Bovidae	Aepyceros	Metazoa	Cetartiodactyla	Chordata	Aepyceros melampus		Aepyceros melampus		Aepyceros_melampus	10.501617106543	6.75919618767876	3.41818307526191	6.68365543355891	3.48977929504943	7.39212901316158	8.4595187790558	True	True	True	True	True	True	True	66.38278204	7.645278051
11166.AS.181.blackbird	51067	9.611160879	2.711777218	intestinal aspiration	RNAlater	unknown	unknown	wild	unknown	Smithsonian	Smithsonian	USA	redwinged blackbird	Agelaius phoeniceus	2015	AS.181	AS.181			Agelaius phoeniceus	flighted	strong	Agelaius phoeniceus	50.78	Omnivore	0	50	0	0	0	50	0	0	0	0	Aves	Icteridae	Agelaius	Metazoa	Passeriformes	Chordata	Agelaius phoeniceus		Agelaius phoeniceus		Agelaius_phoeniceus	4.05	3.145276738284	1.17915733860023	0.549442303624165	-0.210028470879021	0.0399767482154231	2.74	False	True	True	True	True	True	False	9.750169398	2.722107109
11166.AS.182.blackbird	102540	17.19346806	1.24387971	intestinal aspiration	RNAlater	unknown	unknown	wild	unknown	Smithsonian	Smithsonian	USA	redwinged blackbird	Agelaius phoeniceus	2015	AS.182	AS.182			Agelaius phoeniceus	flighted	strong	Agelaius phoeniceus	50.78	Omnivore	0	50	0	0	0	50	0	0	0	0	Aves	Icteridae	Agelaius	Metazoa	Passeriformes	Chordata	Agelaius phoeniceus		Agelaius phoeniceus		Agelaius_phoeniceus	4.05	3.145276738284	1.17915733860023	0.549442303624165	-0.210028470879021	0.0399767482154231	2.74	False	True	True	True	True	True	False	18.61346862	1.265811862
11166.AS.071.blackbird	29762	10.72306121	1.891372121	intestinal aspiration	RNAlater	unknown	unknown	wild	unknown	Smithsonian	Smithsonian	USA	redwinged blackbird	Agelaius phoeniceus	2015	AS.071	AS.071			Agelaius phoeniceus	flighted	strong	Agelaius phoeniceus	50.78	Omnivore	0	50	0	0	0	50	0	0	0	0	Aves	Icteridae	Agelaius	Metazoa	Passeriformes	Chordata	Agelaius phoeniceus		Agelaius phoeniceus		Agelaius_phoeniceus	4.05	3.145276738284	1.17915733860023	0.549442303624165	-0.210028470879021	0.0399767482154231	2.74	False	True	True	True	True	True	False	11.64777304	1.895431222
11166.AS.072.blackbird	12029	25.40541417	4.607416101	intestinal aspiration	RNAlater	unknown	unknown	wild	unknown	Smithsonian	Smithsonian	USA	redwinged blackbird	Agelaius phoeniceus	2015	AS.072	AS.072			Agelaius phoeniceus	flighted	strong	Agelaius phoeniceus	50.78	Omnivore	0	50	0	0	0	50	0	0	0	0	Aves	Icteridae	Agelaius	Metazoa	Passeriformes	Chordata	Agelaius phoeniceus		Agelaius phoeniceus		Agelaius_phoeniceus	4.05	3.145276738284	1.17915733860023	0.549442303624165	-0.210028470879021	0.0399767482154231	2.74	False	True	True	True	True	True	False	27.35782822	4.663074144
11166.AS.130.blackbird	13706	13.53474207	3.245207974	intestinal aspiration	RNAlater	unknown	unknown	wild	unknown	Smithsonian	Smithsonian	USA	redwinged blackbird	Agelaius phoeniceus	2015	AS.130	AS.130			Agelaius phoeniceus	flighted	strong	Agelaius phoeniceus	50.78	Omnivore	0	50	0	0	0	50	0	0	0	0	Aves	Icteridae	Agelaius	Metazoa	Passeriformes	Chordata	Agelaius phoeniceus		Agelaius phoeniceus		Agelaius_phoeniceus	4.05	3.145276738284	1.17915733860023	0.549442303624165	-0.210028470879021	0.0399767482154231	2.74	False	True	True	True	True	True	False	16.1209945	3.225134034
11212.AC622	26528	47.60118299	7.181698378	fecal	etoh	unknown	unknown	wild	adult	Amato folivory	Katie Amato	Argentina	Black howler	Alouatta caraya		ka.AC622	AC622			Alouatta caraya	flightless	flightless	Alouatta caraya	5862.46		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta caraya		Alouatta caraya		Alouatta_caraya	8.81525352775832	5.50007805252435	4.08585920509457	5.58791329523347	2.38916704754838	5.5516447845725	6.70836137718068	True	True	True	True	True	True	True	59.49741647	7.241895668
11212.AC693	25366	44.2508127	7.142536046	fecal	etoh	unknown	unknown	wild	adult	Amato folivory	Katie Amato	Argentina	Black howler	Alouatta caraya		ka.AC693	AC693			Alouatta caraya	flightless	flightless	Alouatta caraya	5862.46		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta caraya		Alouatta caraya		Alouatta_caraya	8.81525352775832	5.50007805252435	4.08585920509457	5.58791329523347	2.38916704754838	5.5516447845725	6.70836137718068	True	True	True	True	True	True	True	51.22501683	7.171621317
11212.AC680	25815	38.0293501	6.856475683	fecal	etoh	unknown	unknown	wild	adult	Amato folivory	Katie Amato	Argentina	Black howler	Alouatta caraya		ka.AC680	AC680			Alouatta caraya	flightless	flightless	Alouatta caraya	5862.46		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta caraya		Alouatta caraya		Alouatta_caraya	8.81525352775832	5.50007805252435	4.08585920509457	5.58791329523347	2.38916704754838	5.5516447845725	6.70836137718068	True	True	True	True	True	True	True	41.32794863	6.866069842
11212.AC668	31860	44.46170043	6.943317269	fecal	etoh	unknown	unknown	wild	adult	Amato folivory	Katie Amato	Argentina	Black howler	Alouatta caraya		ka.AC668	AC668			Alouatta caraya	flightless	flightless	Alouatta caraya	5862.46		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta caraya		Alouatta caraya		Alouatta_caraya	8.81525352775832	5.50007805252435	4.08585920509457	5.58791329523347	2.38916704754838	5.5516447845725	6.70836137718068	True	True	True	True	True	True	True	55.61229771	7.034775024
11212.AC673	43494	36.02595684	6.556746731	fecal	etoh	unknown	unknown	wild	adult	Amato folivory	Katie Amato	Argentina	Black howler	Alouatta caraya		ka.AC673	AC673			Alouatta caraya	flightless	flightless	Alouatta caraya	5862.46		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta caraya		Alouatta caraya		Alouatta_caraya	8.81525352775832	5.50007805252435	4.08585920509457	5.58791329523347	2.38916704754838	5.5516447845725	6.70836137718068	True	True	True	True	True	True	True	43.4053585	6.599026617
11212.APAL39	14233	45.8426424	6.681581051	fecal	etoh	unknown	unknown	wild	adult	Amato folivory	Katie Amato	Nicaragua	Mantled howler	Alouatta palliata		ka.APAL39	APAL39			Alouatta palliata	flightless	flightless	Alouatta palliata	7274.95		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta palliata		Alouatta palliata		Alouatta_palliata	9.01458245962566	5.60720710157326	4.11538541326921	5.73805963666033	2.50209784603626	5.74713823110794	6.87270552303338	True	True	True	True	True	True	True	54.46192066	6.708385219
11212.Apalw20	28112	43.3660856	6.770269342	fecal	etoh	unknown	unknown	wild	adult	Amato folivory	Katie Amato	Nicaragua	Mantled howler	Alouatta palliata		ka.Apalw20	Apalw20			Alouatta palliata	flightless	flightless	Alouatta palliata	7274.95		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta palliata		Alouatta palliata		Alouatta_palliata	9.01458245962566	5.60720710157326	4.11538541326921	5.73805963666033	2.50209784603626	5.74713823110794	6.87270552303338	True	True	True	True	True	True	True	48.23767365	6.796181836
11212.Apalw9	15638	36.6006458	6.675036676	fecal	etoh	unknown	unknown	wild	adult	Amato folivory	Katie Amato	Nicaragua	Mantled howler	Alouatta palliata		ka.Apalw9	Apalw9			Alouatta palliata	flightless	flightless	Alouatta palliata	7274.95		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta palliata		Alouatta palliata		Alouatta_palliata	9.01458245962566	5.60720710157326	4.11538541326921	5.73805963666033	2.50209784603626	5.74713823110794	6.87270552303338	True	True	True	True	True	True	True	40.49763435	6.686540153
11212.APAL38	11723	38.26184475	6.267767965	fecal	etoh	unknown	unknown	wild	adult	Amato folivory	Katie Amato	Nicaragua	Mantled howler	Alouatta palliata		ka.APAL38	APAL38			Alouatta palliata	flightless	flightless	Alouatta palliata	7274.95		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta palliata		Alouatta palliata		Alouatta_palliata	9.01458245962566	5.60720710157326	4.11538541326921	5.73805963666033	2.50209784603626	5.74713823110794	6.87270552303338	True	True	True	True	True	True	True	43.6994073	6.284104608
11212.Apalw19	22963	45.08075146	6.771981052	fecal	etoh	unknown	unknown	wild	adult	Amato folivory	Katie Amato	Nicaragua	Mantled howler	Alouatta palliata		ka.Apalw19	Apalw19			Alouatta palliata	flightless	flightless	Alouatta palliata	7274.95		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta palliata		Alouatta palliata		Alouatta_palliata	9.01458245962566	5.60720710157326	4.11538541326921	5.73805963666033	2.50209784603626	5.74713823110794	6.87270552303338	True	True	True	True	True	True	True	50.09022626	6.838851463
11212.APF38	26978	40.99677262	6.985589585	fecal	etoh	unknown	unknown	wild	adult	Amato folivory	Katie Amato	Mexico	Guatemalan black howler	Alouatta pigra		ka.APF38	APF38			Alouatta pigra	flightless	flightless	Alouatta pigra	7000.03		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta pigra		Alouatta pigra		Alouatta_pigra	8.97937950969448	5.59116432759352	4.10351764775724	5.70805542517456	2.48503463940173	5.71658826374185	6.84733747222325	True	True	True	True	True	True	True	45.91006411	6.998391039
11166.NATL.24659.howler	74656	24.0015673	5.439334627	fecal	none	unknown	unknown	captive	unknown	National	National Zoo	USA	black howler monkey	Alouatta pigra	10/20/15		113826 or 113827	natl.blackhowlermonkey.exh40.1	natl.blackhowlermonkey.exh40	Alouatta pigra	flightless	flightless	Alouatta pigra	7000.03		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta pigra		Alouatta pigra		Alouatta_pigra	8.97937950969448	5.59116432759352	4.10351764775724	5.70805542517456	2.48503463940173	5.71658826374185	6.84733747222325	True	True	True	True	True	True	True	27.67968116	5.512081601
11212.APF109	24067	43.12749552	6.117925575	fecal	etoh	unknown	unknown	wild	adult	Amato folivory	Katie Amato	Mexico	Guatemalan black howler	Alouatta pigra		ka.APF109	APF109			Alouatta pigra	flightless	flightless	Alouatta pigra	7000.03		40	0	0	60	0	0	0	0	0	0	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Chordata	Alouatta pigra		Alouatta pigra		Alouatta_pigra	8.97937950969448	5.59116432759352	4.10351764775724	5.70805542517456	2.48503463940173	5.71658826374185	6.84733747222325	True	True	True	True	True	True	True	51.51386059	6.186490724
