DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Diet Barchart
COLOR	#00FF00
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00	#fdbf6f
FIELD_LABELS	Fruit	Invertebrates	Nectar	Plants	Scavenging	Seeds	Meat (Ectotherms)	Meat (Endotherms)	Meat (Fish)	Meat (Unknown)
LEGEND_TITLE	Dataset legend
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00	#fdbf6f
LEGEND_LABELS	Fruit	Invertebrates	Nectar	Plants	Scavenging	Seeds	Meat (Ectotherms)	Meat (Endotherms)	Meat (Fish)	Meat (Unknown)
MARGIN	0
WIDTH	200
DATA
Accipiter_cooperii	0.0	0.0	0.0	0.0	0.0	0.0	10.0	90.0	0.0	0.0
Accipiter_striatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
Accipiter_tachiro	0.0	10.0	0.0	0.0	0.0	0.0	20.0	70.0	0.0	0.0
Accipiter_trivirgatus	0.0	20.0	0.0	0.0	0.0	0.0	20.0	60.0	0.0	0.0
Aceros_corrugatus	90.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acinonyx_jubatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
Acrocephalus_arundinaceus	10.0	70.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0
Acrocephalus_baeticatus	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actitis_hypoleucos	0.0	50.0	0.0	10.0	0.0	0.0	20.0	0.0	20.0	0.0
Actitis_macularia	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0
Addax_nasomaculatus	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Aegolius_acadicus	0.0	20.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0
Aepyceros_melampus	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Aethia_pygmaea	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agapornis_fischeri	20.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0
Agelaius_phoeniceus	0.0	50.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0
Ailuropoda_melanoleuca	0.0	0.0	0.0	90.0	0.0	0.0	0.0	10.0	0.0	0.0
Ailurus_fulgens	10.0	10.0	0.0	60.0	0.0	10.0	0.0	10.0	0.0	0.0
Aix_galericulata	0.0	20.0	0.0	30.0	0.0	40.0	0.0	0.0	10.0	0.0
Aix_sponsa	0.0	0.0	0.0	50.0	0.0	50.0	0.0	0.0	0.0	0.0
Alauda_arvensis	0.0	40.0	0.0	20.0	0.0	40.0	0.0	0.0	0.0	0.0
Alcelaphus_buselaphus	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Alisterus_scapularis	30.0	0.0	10.0	30.0	0.0	30.0	0.0	0.0	0.0	0.0
Alouatta_caraya	40.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0
Alouatta_palliata	40.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0
Alouatta_pigra	40.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0
