DATASET_COLORSTRIP

SEPARATOR SPACE

COLOR #8ab2df

DATASET_LABEL categorical_colorstrip

LEGEND_TITLE categorical_colorstrip
LEGEND_SHAPES 1 1
LEGEND_COLORS #000000 #FFFFFF
LEGEND_LABELS flighted flightless

DATA
Accipiter_cooperii #000000
Accipiter_striatus #000000
Accipiter_tachiro #000000
Accipiter_trivirgatus #000000
Aceros_corrugatus #000000
Acinonyx_jubatus #FFFFFF
Acrocephalus_arundinaceus #000000
Acrocephalus_baeticatus #000000
Actitis_hypoleucos #000000
Actitis_macularia #000000
Addax_nasomaculatus #FFFFFF
Aegolius_acadicus #000000
Aepyceros_melampus #FFFFFF
Aethia_pygmaea #000000
Agapornis_fischeri #000000
Agelaius_phoeniceus #000000
Ailuropoda_melanoleuca #FFFFFF
Ailurus_fulgens #FFFFFF
Aix_galericulata #000000
Aix_sponsa #000000
Alauda_arvensis #000000
Alcelaphus_buselaphus #FFFFFF
Aldabrachelys_gigantea #FFFFFF
Alisterus_scapularis #000000
Alligator_mississippiensis #FFFFFF
Alouatta_caraya #FFFFFF
Alouatta_palliata #FFFFFF
Alouatta_pigra #FFFFFF
Alouatta_seniculus #FFFFFF
Amaurornis_akool #000000
Amazilia_tzacatl #000000
Amazonetta_brasiliensis #000000
Amblycercus_holosericeus #000000
Ammodramus_bairdii #000000
Ammodramus_maritimus #000000
Ammotragus_lervia #FFFFFF
Anas_acuta #000000
Anas_aucklandica #FFFFFF
Anas_crecca #000000
Anas_discors #000000
Anas_flavirostris #000000
Anas_platyrhynchos #000000
Anas_rhynchotis #000000
Aneides_aeneus #FFFFFF
Anodorhynchus_hyacinthinus #000000
Anolis_allisoni #FFFFFF
Anolis_barbatus #FFFFFF
Anolis_smallwoodi #FFFFFF
Anous_stolidus #000000
Anser_caerulescens #000000
Anthornis_melanura #000000
Anthreptes_collaris #000000
Anthropoides_paradiseus #000000
Anthus_lineiventris #000000
Antidorcas_marsupialis #FFFFFF
Antilope_cervicapra #FFFFFF
Antrozous_dubiaquercus #000000
Aonyx_cinerea #FFFFFF
Aplonis_panayensis #000000
Apteryx_australis #FFFFFF
Apus_pacificus #000000
Aquila_heliaca #000000
Ara_ararauna #000000
Ara_chloropterus #000000
Aratinga_solstitialis #000000
Arctictis_binturong #FFFFFF
Arctocephalus_forsteri #FFFFFF
Arctocephalus_tropicalis #FFFFFF
Ardea_herodias #000000
Ardeotis_kori #000000
Arenaria_interpres #000000
Argusianus_argus #000000
Artamus_leucorhynchus #000000
Artibeus_glaucus #000000
Artibeus_intermedius #000000
Artibeus_jamaicensis #000000
Artibeus_lituratus #000000
Artibeus_phaeotis #000000
Aspidites_ramsayi #FFFFFF
Astrochelys_radiata #FFFFFF
Ateles_belzebuth #FFFFFF
Ateles_fusciceps #FFFFFF
Ateles_geoffroyi #FFFFFF
Ateles_hybridus #FFFFFF
Atelopus_varius #FFFFFF
Athene_cunicularia #000000
Axis_axis #FFFFFF
Axis_porcinus #FFFFFF
Aythya_fuligula #000000
Balaenoptera_borealis #FFFFFF
Baryphthengus_martii #000000
Basiliscus_plumifrons #FFFFFF
Batis_capensis #000000
Batrachostomus_auritus #000000
Bettongia_penicillata #FFFFFF
Bitis_arietans #FFFFFF
Boa_constrictor #FFFFFF
Bombycilla_garrulus #000000
Bonasa_umbellus #000000
Bos_indicus #FFFFFF
Bos_javanicus #FFFFFF
Bos_taurus #FFFFFF
Boselaphus_tragocamelus #FFFFFF
Bothriechis_schlegelii #FFFFFF
Branta_canadensis #000000
Bubo_lacteus #000000
Bubo_virginianus #000000
Bubulcus_ibis #000000
Bucephala_clangula #000000
