,r,p
node42,0.10122291951848106,0.718
node47,0.07620366002841583,0.569
node39,0.2080671537005457,0.077
node56,0.3014474993525059,0.005
node66,0.3258023513585941,0.086
node73,0.07083210541252509,0.716
node88,0.3354731006726619,0.002
node102,0.32454190901446733,0.007
node133,0.458949477730229,0.147
node127,0.3734502607672843,0.21
node136,0.29016159643054457,0.003
node126,0.27931120082950084,0.001
node142,0.33678038742323646,0.001
node150,0.3306878972819834,0.001
node139,0.2126299307951272,0.011
node121,0.14862548440083662,0.435
node228,0.13158266125754925,0.331
node227,0.16966051148990885,0.345
node224,0.06815370722220145,0.704
node243,-0.1042271551451896,0.571
node271,-0.16157730690671293,0.527
node313,-0.2307319885805255,0.351
node317,0.11717135482742569,0.569
node316,0.037830683251582675,0.813
node312,0.11007530372375424,0.246
node325,-0.015815298743519942,0.884
node324,0.14544660640813312,0.175
node323,0.09395700858357388,0.4
node321,0.12136256277395872,0.261
node311,0.24062550538595628,0.002
node358,0.48042282805840575,0.006
node369,0.34090368244933367,0.102
node399,0.26398526394826777,0.192
node397,-0.111412794097773,0.653
node415,-0.09264149430581113,0.742
node414,0.05475808136297733,0.716
node413,0.29109030473016634,0.043
node412,0.2845823789859307,0.067
node429,0.06633787419176267,0.68
node436,0.14203773407257336,0.041
node373,0.19130525144786853,0.683
node291,0.13717028738189685,0.529
node461,0.09813613253073512,0.374
node471,0.017309086630609406,0.668
node454,0.06357084917461994,0.825
node453,0.0846285516139864,0.7
node451,-0.09199416410143303,0.579
node492,-0.12355262711979283,0.368
node506,-0.08629038510350831,0.424
node539,0.12249812625549626,0.42
node538,0.22271346396192518,0.199
node534,0.3455304292058133,0.001
node533,0.1410027282647516,0.001
node597,-0.03875758111412581,0.85
node596,-0.13738525794889103,0.443
node582,0.18883820061054107,0.377
node610,0.0876508602346752,0.566
node608,0.18972044022330023,0.114
node635,0.060653102378189834,0.828
node639,0.5629137571577759,0.04
node629,0.2867637392621833,0.041
node605,0.07060478563369922,0.22
node651,0.2168197840481469,0.022
node669,0.2654448437380215,0.251
node666,-0.07172598896807525,0.768
node728,0.23141985791610845,0.346
node757,0.01771488152091832,0.923
node749,0.04731361030654882,0.403
node748,0.08806519583615348,0.254
node764,0.4063442680584866,0.059
node775,0.04813289000549274,0.533
node780,0.22753638043928776,0.028
node804,0.5596651402051805,0.01
node802,0.2639028153230947,0.055
node813,-0.07810785499949585,0.242
node828,0.05872464102025154,0.502
node818,-0.05262293725842436,0.546
node857,0.5558601004245689,0.087
node855,0.18262145459206902,0.476
node837,-0.06444723282060731,0.458
node915,0.15220005248801977,0.469
node918,-0.0241674443129971,0.881
node933,0.10476190669799706,0.523
node940,0.19771976293062096,0.24
node997,0.13767600172256728,0.469
node959,0.23588707378556872,0.061
node957,0.0723196671571719,0.181
node955,0.10343137558196802,0.08
node1031,-0.27586661232232895,0.173
node1030,0.13350201302693526,0.59
node1037,0.09246582332184182,0.612
node1029,0.3512369554561912,0.033
node1028,0.1619017278600852,0.001
node1043,0.02418699784703398,0.67
node1019,-0.02469607020748759,0.716
node1051,-0.05237126565330764,0.463
node1056,0.06517256824147757,0.225
node1050,-0.03472337338654791,0.342
node1049,0.22224096487162273,0.216
node1087,0.29226202815540414,0.028
node1118,0.13691225134002388,0.573
node1116,0.110127429489765,0.346
node1046,0.2390959830837616,0.059
node1018,0.10561960591845455,0.442
node1000,0.03335251454817268,0.474
node954,0.01890286274127478,0.69
node1125,0.010009115322483627,0.833
node1132,0.0326649038243187,0.428
node1130,0.12396207132049307,0.001
node1163,0.04251818323090064,0.729
node1191,0.19646073473209558,0.29
node1190,0.23132692977889413,0.069
node1180,0.1972005175542232,0.046
node1199,0.16438582668276772,0.104
node1179,0.218390547788071,0.05
node1228,0.024999835678346224,0.856
node1150,0.04397841702344236,0.864
node1243,0.0175576083754852,0.886
node1149,-0.11821918869789948,0.501
node1246,-0.17302953233900753,0.375
node1148,-0.13638332855212415,0.542
node1303,0.12917635104749126,0.229
node1307,0.25977967766075716,0.079
node1321,0.09740054157385655,0.163
node1320,0.16607037514768216,0.034
node1319,0.12053955970495706,0.063
node1334,0.09148605126509575,0.064
node1364,0.017411391835708185,0.916
node1343,-0.07751669974476177,0.593
node1420,0.19409140747689907,0.103
node1402,0.21383601046080397,0.07
node1428,0.08726801996242488,0.289
node1427,0.07879735912392659,0.33
node1425,0.016615789471401264,0.954
node1471,-0.15255783484439964,0.531
node1467,0.11199229728120683,0.558
node1482,0.0028269589095459052,0.97
node1466,-0.0009792243527690931,0.995
node1490,0.06952674487782273,0.591
node1486,0.4289718778759317,0.006
node1494,0.21855038200503607,0.001
node1493,0.231841237056974,0.002
node1509,0.2861885340071577,0.143
node1512,0.5417065702377868,0.018
node1508,0.1599394811616363,0.023
node1460,0.26051845513197086,0.001
node1459,0.06843982498902017,0.096
node1558,-0.12221915274020238,0.486
node1552,0.2034178334963203,0.3
node1572,-0.02747148007052313,0.846
node1569,0.05885761872384679,0.754
node1566,0.09877513993365036,0.587
node1542,0.05591685463365869,0.798
node1584,0.2010547887807019,0.236
node1587,0.10064067267697258,0.263
node1583,0.05618941673129732,0.137
node1593,-0.019358572159253178,0.621
node1609,0.11379010100551006,0.001
node1608,0.1069694078202522,0.001
node1647,0.16653521616119213,0.199
node1597,0.10089242717110763,0.001
node1656,0.0756275099388111,0.002
node1659,0.08670307738667549,0.001
node1653,0.09011517608197128,0.001
node1679,-0.11963234116287526,0.436
node1678,-0.24144003081685814,0.317
node1688,-0.27299407645480167,0.194
node1687,0.12934464924213354,0.001
node1677,0.16357733236262575,0.001
node1743,0.3136182637680139,0.174
node1742,0.05320281822507112,0.841
node1827,0.37584382463788824,0.087
node1842,0.2037414923586967,0.293
node1841,0.022707693319745512,0.899
node1840,0.0637797212203126,0.74
node1772,0.05399547884975759,0.801
node1541,0.4571488161349771,0.001
node1863,0.09068652842760863,0.225
node1866,0.02546825145038305,0.671
node1759,-0.025179038923754827,0.978
node1763,0.03927503100748434,0.739
node1664,0.2428296851643101,0.219
node1799,-0.19220223484034052,0.366
node1793,-0.22939171215343038,0.347
node1775,0.020904398833626586,0.817
node1804,0.26909080038274735,0.007
node1862,0.0489516968178884,0.194
node1873,0.06949167434275835,0.219
node1891,0.5186917567324706,0.081
node1904,0.4114548502142745,0.026
node1903,0.5066497346917457,0.001
node1953,0.549833358701255,0.014
node1913,0.17585706139818713,0.292
node1973,0.8140991732819016,0.032
node1981,0.6600225324602331,0.001
node1986,0.3551726758557198,0.002
node1995,0.4754976755958493,0.002
node2007,0.5587999621180344,0.001
node2000,0.43905463098415504,0.004
node1956,0.36711676833681867,0.003
node1912,0.20307820752477698,0.016
node2017,0.20089759283889874,0.038
node2016,0.18580678461582428,0.048
node2015,0.3770572068934746,0.002
node2041,0.6929714713184884,0.001
node2013,0.7363003208408241,0.001
node2048,0.5441883636244685,0.001
node2052,0.5694883547664505,0.001
node2062,0.09438050143734109,0.494
node2085,0.16984295120627546,0.057
node2139,-0.21969808530014007,0.458
node2138,0.15266665844886923,0.46
node2137,0.234760441274022,0.042
node2169,-0.10404476060483796,0.452
node2158,0.22595014854699294,0.055
node2192,0.1806465596112714,0.154
node2195,0.046875941027460455,0.718
node2155,0.09738170616632949,0.428
node2154,0.19552131877782336,0.115
node2235,0.4236215198863176,0.049
node2217,-0.01650979216695609,0.841
node2201,-0.05425725818590119,0.734
node2250,0.005739154097594684,0.962
node2151,-0.05937444907856815,0.63
node2150,0.17855413814728116,0.001
node2278,0.04151993359945482,0.504
node2287,0.09550839595454937,0.115
node2277,0.5636617686723553,0.001
