,r,p
node1743,0.8110059444856261,0.04004004004004004
node1742,0.7131229890272682,0.06706706706706707
node1827,0.3144021521844357,0.23823823823823823
node1842,-0.014537456334670887,1.0
node1841,0.057376515029297755,0.6126126126126126
node1840,0.10012158736003986,0.33133133133133136
node1772,0.09029997459280945,0.3533533533533533
node1541,0.5607451292032808,0.0
node1863,0.46046392848246787,0.0
node1866,0.3783908874546036,0.0
node1759,-0.0818154400536889,1.0
node1763,0.06872791827746975,0.6716716716716716
node1664,0.23320987677024604,0.13613613613613615
node1799,-0.005487981959628662,1.0
node1793,-0.057190304900894426,1.0
node1775,0.04904560919006768,0.7347347347347347
node1804,0.3910544890401197,0.01001001001001001
node1862,0.3281452746527036,0.0
node1873,0.3260833583640654,0.0
node1891,0.4954245344451427,0.3053053053053053
node1904,0.5559052082324161,0.005005005005005005
node1903,0.4991573501966374,0.0
node1953,0.6102188056829008,0.004004004004004004
node1913,0.43753741403845736,0.015015015015015015
node1973,0.8524190940369539,0.2682682682682683
node1981,0.7290562038858451,0.005005005005005005
node1986,0.5233085811359838,0.006006006006006006
node1995,0.5550909667776468,0.003003003003003003
node2007,0.5790330884221063,0.001001001001001001
node2000,0.515951441344899,0.0
node1956,0.4688655923450522,0.0
node1912,0.2977956763526251,0.003003003003003003
node2017,0.2952961640050793,0.003003003003003003
node2016,0.2689172669556461,0.012012012012012012
node2015,0.6226908194839844,0.005005005005005005
node2041,0.8533840796331049,0.0
node2013,0.865743525232451,0.0
node2048,0.6784649087385449,0.0
node2052,0.7507715744505842,0.0
node2062,0.05975465851461652,0.7857857857857858
node2085,0.1940153808027998,0.16516516516516516
node2217,0.022697508259831543,0.8818818818818819
node2201,0.00012368906594640894,0.998998998998999
node2250,0.015502131545035732,0.938938938938939
node2151,-0.035187957013750874,1.0
node2139,-0.28548593368937214,1.0
node2138,-0.012396476324075336,1.0
node2137,0.17244432913482788,0.18218218218218218
node2169,-0.03352246856344228,1.0
node2158,0.21326902025582853,0.035035035035035036
node2192,0.1701896932360284,0.05105105105105105
node2195,0.09937400521136996,0.2062062062062062
node2155,0.12170783615380666,0.08108108108108109
node2150,0.16159197060343974,0.0
node2278,0.09059113989373993,0.05405405405405406
node2287,0.10081793440795665,0.002002002002002002
node2277,0.7122749640540192,0.0
node2147,0.7073694892399963,0.0
node2315,-0.23134479416966455,1.0
node2314,-0.018522787331169997,1.0
node2313,0.04937481775034838,0.7137137137137137
node2344,0.17159007736105458,0.4044044044044044
node2375,0.10554955125336539,0.6326326326326326
node2394,0.33698988366911714,0.12212212212212212
node2409,0.49818136222711296,0.004004004004004004
node2403,0.2898439854861291,0.002002002002002002
node2357,0.32956780324396573,0.002002002002002002
node2456,0.2570474028015003,0.31931931931931934
node2463,-0.04545898634193964,1.0
node2468,0.3645343274265691,0.1011011011011011
node2493,0.5490685546438097,0.05005005005005005
node2488,0.5165108502046227,0.006006006006006006
node2487,0.6146884580769029,0.0
node2486,0.5610976330332932,0.0
node2532,-0.06758004046107752,1.0
node2559,-0.02052059902578128,1.0
node2577,-0.1760186828455199,1.0
node2556,0.4187096376296948,0.023023023023023025
node2602,0.5472359893628137,0.0
node2597,0.347906761985063,0.001001001001001001
node2595,0.46316808854636005,0.0
node2555,0.45985387625623625,0.0
node2617,0.4708337763576223,0.0
node2616,0.5195449473683936,0.0
node2542,0.5740349796304404,0.0
node2637,0.23681136825577914,0.4114114114114114
node2642,0.3345028368700849,0.31931931931931934
node2636,0.3384412532155808,0.07007007007007007
node2682,0.03977154676299227,0.8798798798798799
node2681,0.4929055692278621,0.0
node2680,0.5344545709628298,0.0
node2679,0.41482632126310026,0.0
node2688,0.40381353292803845,0.0
node121,0.24330841166770195,0.1891891891891892
node228,0.09349985793127553,0.28428428428428426
node227,0.18557972284955898,0.14814814814814814
node224,0.1534647040686803,0.17917917917917917
node243,-0.12796541920765522,1.0
node271,-0.2039624682380759,1.0
node313,-0.2932357109238923,1.0
node317,-0.142659665735984,1.0
node316,0.052707335622201416,0.6826826826826827
node312,0.09020750121542785,0.47847847847847846
node325,0.01257804775483902,0.8458458458458459
node324,0.1560578443837701,0.08508508508508508
node323,0.08590363228404213,0.23223223223223224
node321,0.1289965640830772,0.13713713713713713
node311,0.18711835560702608,0.016016016016016016
node358,0.3283670196447513,0.15815815815815815
node369,0.37733769990722393,0.03303303303303303
node399,0.08583558078418763,0.7557557557557557
node397,-0.09304017124410216,1.0
node415,-0.018826656661206254,1.0
node414,0.10278112065661343,0.35135135135135137
node413,0.0650022530325619,0.5275275275275275
node412,0.09176100611352307,0.36036036036036034
node429,0.1325555054482677,0.4974974974974975
node436,0.0702609225106595,0.4144144144144144
node373,0.126079581115096,0.6416416416416416
node291,0.1286384929976387,0.5355355355355356
node461,0.06947550008177078,0.6026026026026026
node471,0.03335218477464137,0.5355355355355356
node454,0.0169850945422912,0.908908908908909
node453,0.047329967408429194,0.7557557557557557
node451,-0.01664412679795725,1.0
node492,0.08536885813514157,0.6166166166166166
node506,0.0023639936942237397,0.992992992992993
node539,0.16396054760902826,0.4004004004004004
node538,0.24283866573432253,0.12312312312312312
node534,0.3273640497429279,0.0
node533,0.13257186468659965,0.0
node597,-0.07203853790390324,1.0
node596,-0.17084008498130554,1.0
node582,0.16504117375612834,0.5095095095095095
node610,0.12594905803186626,0.38538538538538536
node608,0.16657789020472058,0.2072072072072072
node635,0.16879900729430092,0.3973973973973974
node639,0.5603497968242079,0.024024024024024024
node629,0.24625841444927163,0.08308308308308308
node605,0.1133513272516847,0.16416416416416416
node651,0.16595496037533486,0.05105105105105105
node669,0.06097136981153589,0.8158158158158159
node666,-0.17194560183901964,1.0
node728,0.14331109980833284,0.5025025025025025
