,r,p
node1743,0.3662337662337662,0.1031031031031031
node1742,0.051480051480051504,0.8118118118118118
node1827,0.47402597402597396,0.09509509509509509
node1842,0.10509031198686368,0.6296296296296297
node1841,0.027009222661396593,0.8388388388388388
node1840,0.08131313131313131,0.41541541541541543
node1772,0.0731238910343388,0.47047047047047047
node1541,0.41054339010543384,0.0
node1863,0.05555086246630236,0.5805805805805806
node1866,0.022628900321749676,0.7947947947947948
node1759,-0.0168831168831169,1.0
node1763,0.03953823953823953,0.8168168168168168
node1664,0.2400375743659326,0.17117117117117117
node1799,-0.1545454545454546,1.0
node1793,-0.13574165298303228,1.0
node1775,0.047990815154994274,0.7167167167167167
node1804,0.2639785391190194,0.014014014014014014
node1862,0.04921813017101305,0.3923923923923924
node1873,0.07133285924911321,0.22422422422422422
node1891,0.4779220779220779,0.3893893893893894
node1904,0.4092352092352091,0.015015015015015015
node1903,0.507158825104836,0.0
node1953,0.5191763191763192,0.015015015015015015
node1913,0.1878787878787878,0.3863863863863864
node1973,0.7103896103896103,0.3023023023023023
node1981,0.6457180500658761,0.016016016016016016
node1986,0.27846378220709767,0.1061061061061061
node1995,0.4368843231072333,0.012012012012012012
node2007,0.5451685140147994,0.0
node2000,0.4442320470227446,0.005005005005005005
node1956,0.37384265813713674,0.02002002002002002
node1912,0.19133621495884942,0.044044044044044044
node2017,0.21279169305485096,0.03803803803803804
node2016,0.18665279148842465,0.06306306306306306
node2015,0.37700445659988524,0.06506506506506507
node2041,0.6864930722711077,0.004004004004004004
node2013,0.7374618389586242,0.0
node2048,0.5403475495624228,0.0
node2052,0.5670533958935955,0.0
node2062,-0.05714285714285712,1.0
node2085,0.11559326749200165,0.3203203203203203
node2217,-0.23423442229412383,1.0
node2201,-0.1722201848784127,1.0
node2250,0.005753542292829538,0.978978978978979
node2151,-0.049401864171773245,1.0
node2139,-0.14545454545454545,1.0
node2138,-0.018790218790218787,1.0
node2137,0.1927313193135978,0.10710710710710711
node2169,-0.1287165664524155,1.0
node2158,0.2427246487610668,0.08008008008008008
node2192,0.21564574855429425,0.08708708708708708
node2195,0.04502272247469416,0.7327327327327328
node2155,0.09875377973537486,0.21521521521521522
node2150,0.15531701674162363,0.001001001001001001
node2278,0.033529430422441366,0.5435435435435435
node2287,0.11201894506795992,0.009009009009009009
node2277,0.5669720184124437,0.0
node2147,0.5485722119964361,0.0
node2315,-0.34920634920634913,1.0
node2314,0.01554677206851121,0.934934934934935
node2313,0.06688311688311688,0.6496496496496497
node2344,0.15064935064935062,0.5465465465465466
node2375,0.2260536398467433,0.2962962962962963
node2394,0.47129987129987133,0.028028028028028028
node2409,0.4690545303752851,0.01701701701701702
node2403,0.16206771188366287,0.018018018018018018
node2357,0.24200319742126675,0.01701701701701702
node2456,0.223864258347017,0.42742742742742745
node2463,0.11969111969111973,0.5705705705705706
node2468,0.23552123552123555,0.22722722722722724
node2493,0.39992784992784985,0.17117117117117117
node2488,0.32406692406692417,0.14614614614614616
node2487,0.536275243081526,0.0
node2486,0.5240201327907476,0.0
node2532,-0.08133848133848134,1.0
node2559,0.08504538939321547,0.4394394394394394
node2577,-0.1675675675675676,1.0
node2556,0.5636781129318443,0.007007007007007007
node2602,0.6142855644696136,0.0
node2597,0.3711790783803505,0.0
node2595,0.46610747099310396,0.0
node2555,0.4894129710366198,0.0
node2617,0.5076734294008431,0.0
node2616,0.46983300255496874,0.0
node2542,0.27837405583428004,0.0
node2637,0.0857142857142857,0.6836836836836837
node2642,0.38533114395183365,0.11211211211211211
node2636,0.2217096336499322,0.07007007007007007
node2682,0.30389610389610383,0.14814814814814814
node2681,0.3563563491492069,0.02902902902902903
node2680,0.16545726354654983,0.0
node2679,0.13904225387008884,0.0
node2688,0.1361039208169874,0.0
node121,0.09688013136288995,0.6906906906906907
node228,0.03650793650793646,0.7687687687687688
node227,0.21139619873797086,0.1091091091091091
node224,0.10312151616499446,0.4904904904904905
node243,-0.08378602529545925,1.0
node271,-0.312987012987013,1.0
node313,-0.28181818181818175,1.0
node317,0.164993564993565,0.33433433433433435
node316,0.05426219350269985,0.6176176176176176
node312,0.03618732695613381,0.6366366366366366
node325,-0.03128836631897376,1.0
node324,0.12349575837884455,0.17417417417417416
node323,0.11821575269851133,0.21021021021021022
node321,0.135729811921503,0.16716716716716717
node311,0.2093826761532779,0.004004004004004004
node358,0.4827586206896552,0.08508508508508508
node369,0.30724637681159417,0.14114114114114115
node399,0.3103896103896103,0.18018018018018017
node397,-0.14668856048166398,1.0
node415,-0.0913770913770914,1.0
node414,0.02323348293497548,0.8288288288288288
node413,0.2203193033381712,0.1041041041041041
node412,0.2338634627404681,0.14814814814814814
node429,0.09195402298850573,0.4724724724724725
node436,0.11240650104878641,0.37037037037037035
node373,0.2064935064935065,0.5305305305305306
node291,0.07516087516087518,0.7227227227227228
node461,0.05261826780814121,0.6806806806806807
node471,0.019725577162648108,0.7787787787787788
node454,-0.04025974025974031,1.0
node453,0.037323037323037336,0.8538538538538538
node451,0.003102453102453117,0.973973973973974
node492,-0.12097467749641665,1.0
node506,-0.05874719717570726,1.0
node539,0.14505928853754937,0.4214214214214214
node538,0.2224386724386724,0.22322322322322322
node534,0.2874654132046544,0.03903903903903904
node533,0.09742525748051935,0.031031031031031032
node597,-0.14340448823207444,1.0
node596,-0.181981981981982,1.0
node582,0.22818077444943122,0.2752752752752753
node610,0.09853060445589426,0.2702702702702703
node608,0.2181290923644189,0.05805805805805806
node635,-0.0727969348659004,1.0
node639,0.5673101673101674,0.03303303303303303
node629,0.2765715297360867,0.09109109109109109
node605,0.037245407229409125,0.6776776776776777
node651,0.21136141268517514,0.021021021021021023
node669,0.2676518883415435,0.23523523523523523
node666,-0.07876447876447877,1.0
node728,0.12862616310892175,0.6336336336336337
node757,-0.025997425997425973,1.0
node749,0.030027193359095473,0.7627627627627628
