#Sample	Metric	Value
11166.ELMT14B.14	Weighted NSTI	0.03846306304959202
11166.SCC14.2F	Weighted NSTI	0.11973665945702763
11166.SCC14.9F	Weighted NSTI	0.05621431980047766
11166.SCC14.21	Weighted NSTI	0.02494881668049607
11166.SCC14.15F	Weighted NSTI	0.05935987581293665
11166.TS.125.pangolin	Weighted NSTI	0.046847337394661535
11166.TS.032.cheetah	Weighted NSTI	0.08814020773335668
11166.FD.0489.squirrel	Weighted NSTI	0.09320511430531693
11166.FD.0308.guenon	Weighted NSTI	0.1218211050753459
11166.FD.0437.hyena	Weighted NSTI	0.10399687525481337
11166.TS.003.rhinoceros	Weighted NSTI	0.05181709732392128
11166.TS.180.waterbuck	Weighted NSTI	0.17739226507286593
11166.FD.0280.lion	Weighted NSTI	0.07660474487873949
11166.ZU.18210.bear	Weighted NSTI	0.08952353476227976
11166.TS.118.pangolin	Weighted NSTI	0.058743374492579416
11166.FD.0305.guenon	Weighted NSTI	0.116959274764419
11166.ZU.18237.lemur	Weighted NSTI	0.06832089185597354
11166.TS.004.mongoose	Weighted NSTI	0.08297084529281265
11166.FD.0007.bharal	Weighted NSTI	0.20166798907010797
11166.ZU.18217.lemur	Weighted NSTI	0.21076414311369437
11166.FD.0127.tamarin	Weighted NSTI	0.07282860709720013
11166.TS.050.springbok	Weighted NSTI	0.20084764076840544
11166.TS.113.pangolin	Weighted NSTI	0.13661646563468222
11166.TS.082.pangolin	Weighted NSTI	0.0751210328353322
11166.FD.0493.wildebeest	Weighted NSTI	0.20715435849244931
11166.FD.0066.deer	Weighted NSTI	0.21149353538076515
11166.FD.0029.elephant	Weighted NSTI	0.28090708903646316
11166.FD.0008.bharal	Weighted NSTI	0.19051278538693955
11166.FD.0301.macaque	Weighted NSTI	0.1569941979766665
11166.TS.157.gemsbok	Weighted NSTI	0.22280078753551827
11166.TS.031.cheetah	Weighted NSTI	0.15899068143206427
11166.FD.0478.tamarin	Weighted NSTI	0.06167142180619429
11166.FD.0491.koala	Weighted NSTI	0.06265819507214526
11166.TS.143.kudu	Weighted NSTI	0.0960128497280268
11166.FD.0482.colobus	Weighted NSTI	0.2206889027581349
11166.FD.0325.wallaby	Weighted NSTI	0.20186678107825567
11166.FD.0105.jaguar	Weighted NSTI	0.08257539656341961
11166.ZU.18207.rhinoceros	Weighted NSTI	0.35618600425159846
11166.FD.0501.springbok	Weighted NSTI	0.17983700669286476
11166.TS.116.pangolin	Weighted NSTI	0.20622321051566847
11166.ZU.18259.gecko	Weighted NSTI	0.055359192372885446
11166.TS.080.mongoose	Weighted NSTI	0.05373714910759179
11166.FD.0040.giraffe	Weighted NSTI	0.21829072181624826
11166.FD.0454.mara	Weighted NSTI	0.12983895342386995
11166.FD.0183.lemur	Weighted NSTI	0.08444510750367723
11166.FD.0453.nilgai	Weighted NSTI	0.1979655629419005
11166.ZU.18202.orangutan	Weighted NSTI	0.24265752518130074
11166.FD.0108.jaguar	Weighted NSTI	0.0646786024823905
11166.ZU.18191.rhinoceros	Weighted NSTI	0.3751411909468504
11166.FD.0071.guanaco	Weighted NSTI	0.21699815746770187
11166.FD.0268.wilddog	Weighted NSTI	0.04826695846416426
11166.FD.0112.jaguar	Weighted NSTI	0.10026694157215187
11166.TS.063.kudu	Weighted NSTI	0.20357614536222945
11166.ZU.18265.horse	Weighted NSTI	0.4743368110542038
11166.FD.0027.elephant	Weighted NSTI	0.24822610478551085
11166.FD.0055.tortoise	Weighted NSTI	0.11347366462074614
11166.FD.0037.rhinoceros	Weighted NSTI	0.37506941950805983
11166.FD.0072.guanaco	Weighted NSTI	0.22508762576285798
11166.TS.120.pangolin	Weighted NSTI	0.06316931242047596
11166.ZU.18214.lemur	Weighted NSTI	0.06241283919800116
11166.TS.137.aardvark	Weighted NSTI	0.0845770457736989
11166.FD.0051.watusi	Weighted NSTI	0.22640285487571216
11166.FD.0126.hyena	Weighted NSTI	0.06168586800233499
11166.FD.0186.marmoset	Weighted NSTI	0.06795687319831126
11166.FD.0440.jaguar	Weighted NSTI	0.12379741273571448
11166.FD.0463.meerkat	Weighted NSTI	0.12972694437931007
11166.FD.0502.gorilla	Weighted NSTI	0.17545389953479398
11166.FD.0247.capuchin	Weighted NSTI	0.03807194780160093
11166.TS.069.porcupine	Weighted NSTI	0.13738081361414722
11166.TS.121.pangolin	Weighted NSTI	0.07129312236331585
11166.ZU.18243.elephant	Weighted NSTI	0.2817737845157557
11166.FD.0133.tamarin	Weighted NSTI	0.1487936538026743
11166.FD.0142.loris	Weighted NSTI	0.2016124909327512
11166.FD.0168.cheetah	Weighted NSTI	0.07342111039078845
11166.FD.0103.lion	Weighted NSTI	0.07272671745822609
11166.FD.0298.bear	Weighted NSTI	0.059652348637971225
11166.TS.096.rockrabbit	Weighted NSTI	0.26408000883699134
11166.FD.0295.wolf	Weighted NSTI	0.11807413756234982
11166.TS.078.mongoose	Weighted NSTI	0.07262831044658316
11166.FD.0444.gorilla	Weighted NSTI	0.09819793355651552
11166.FD.0143.loris	Weighted NSTI	0.08757999335443381
11166.TS.117.pangolin	Weighted NSTI	0.14709487435634594
11166.FD.0130.tamarin	Weighted NSTI	0.0767132103403385
11166.FD.0192.monkey	Weighted NSTI	0.012557774480591213
11166.TS.038.warthog	Weighted NSTI	0.23950494864201832
11166.ZU.18262.iguana	Weighted NSTI	0.04893114191907413
11166.FD.0083.mousedeer	Weighted NSTI	0.20959133218013584
11166.FD.0122.hyena	Weighted NSTI	0.1264521431232424
11166.FD.0189.monkey	Weighted NSTI	0.03247951895672613
11166.TS.090.nyala	Weighted NSTI	0.1883696712096233
11166.TS.112.pangolin	Weighted NSTI	0.06847114607266638
11166.TS.083.pangolin	Weighted NSTI	0.08229081469770419
11166.FD.0475.tamarin	Weighted NSTI	0.05479693861200251
11166.ZU.18203.leopard	Weighted NSTI	0.09426179104150627
11166.FD.0115.serval	Weighted NSTI	0.07288833097297914
11166.ZU.18249.zebra	Weighted NSTI	0.3753012973047621
11166.FD.0481.monkey	Weighted NSTI	0.11359898889244285
11166.TS.049.springbok	Weighted NSTI	0.21656058098309508
11166.TS.002.rhinoceros	Weighted NSTI	0.07307319626740987
11166.TS.133.duiker	Weighted NSTI	0.20646894775725214
11166.ZU.18197.tapir	Weighted NSTI	0.3565931757200448
11166.TS.099.zebra	Weighted NSTI	0.290995086741502
11166.FD.0078.eland	Weighted NSTI	0.171370603499803
11166.FD.0136.tamarin	Weighted NSTI	0.07155753866155884
11166.FD.0469.macaque	Weighted NSTI	0.08604379227362505
11166.ZU.18232.lemur	Weighted NSTI	0.18395503393176943
11166.TS.177.hyena	Weighted NSTI	0.1432539279679519
11166.ZU.18253.lemur	Weighted NSTI	0.028219312538071497
11166.FD.0198.meerkat	Weighted NSTI	0.08059658391773851
11166.ZU.18257.anteater	Weighted NSTI	0.08098085786629512
